id,sentence,subject_label,label_id
40,"Considering the richness of this topic, we had proposed a research agenda of digital transformation in a managerial perspective.",method,2
41,Spiking Neuron Networks (SNNs) are often referred to as the 3rd generation of neural networks.,background,0
42,"Highly inspired from natural computing in the brain and recent advances in neurosciences, they derive their strength and interest from an accurate modeling of synaptic interactions between neurons, taking into account the time of spike firing.",background,0
43,SNNs overcome the computational power of neural networks made of threshold or sigmoidal units.,background,0
44,"Based on dynamic event-driven processing, they open up new horizons for developing models with an exponential capacity of memorizing and a strong ability to fast adaptation.",method,2
45,"Today, the main challenge is to discover efficient learning rules that might take advantage of the specific features of SNNs while keeping the nice properties (general-purpose, easy-to-use, available simulators, etc.",objective,1
46,) of traditional connectionist models.,other,4
47,This chapter relates the history of the “spiking neuron” in Section 1 and summarizes the most currently-in-use models of neurons and synaptic plasticity in Section 2.,background,0
48,"The computational power of SNNs is addressed in Section 3 and the problem of learning in networks of spiking neurons is tackled in Section 4, with insights into the tracks currently explored for solving it.",result,3
49,"Finally, Section 5 discusses application domains, implementation issues and proposes several simulation frameworks.",result,3
50,1 Professor at Universit de Lyon Laboratoire de Recherche en Informatique INRIA CNRS bat.,background,0
51,"We describe ITS4, a tool for statically scanning security-critical C source code for vulnerabilities.",background,0
52,"Compared to other approaches, our scanning technique stakes out a new middle ground between accuracy and eficiency.",background,0
53,This method is eficient enough to offer real-time feedback to developers during coding while producing few false negatives.,method,2
54,"Unlike other techniques, our method is also simple enough to scan C + + code despite the complexities inherent in the language.",method,2
55,Using ITS4 we found new remotelyexploitable vulnerabilities in a widely distributed software package as well as in a major piece of e-commerce software.,result,3
56,The ITS4 source distribution is available at h t tp : //www.rstcorp.,other,4
57,com/its4.,other,4
58,Scholars in many disciplines have considered the antecedents and consequences of various forms of trust.,background,0
59,This paper generates 11 propositions exploring the relationship between Human Resource Information Systems (HRIS) and the trust an individual places in the inanimate technology (technology trust) and models the effect of those relationships on HRIS implementation success.,objective,1
60,"Specifically, organizational, technological, and user factors are considered and modeled to generate a set of testable propositions that can subsequently be investigated in various organizational settings.",method,2
61,"Eleven propositions are offered suggesting that organizational trust, pooled interdependence, organizational community, organizational culture, technology adoption, technology utility, technology usability, socialization, sensitivity to privacy, and predisposition to trust influence an individual’s level of trust in the HRIS technology (technology trust) and ultimately the success of an HRIS implementation process.",method,2
62,A summary of the relationships between the key constructs in the model and recommendations for future research are provided.,result,3
63,Credit card plays a very important rule in today's economy.,background,0
64,"It becomes an unavoidable part of household, business and global activities.",background,0
65,"Although using credit cards provides enormous benefits when used carefully and responsibly,significant credit and financial damagesmay be causedby fraudulent activities.",background,0
66,Many techniques have been proposed to confront thegrowthin credit card fraud.,background,0
67,"However, all of these techniques have the same goal of avoiding the credit card fraud; each one has its own drawbacks, advantages and characteristics.",background,0
68,"In this paper, after investigating difficultiesof credit card fraud detection, we seek to review the state of the art in credit card fraud detection techniques, datasets and evaluation criteria.",objective,1
69,The advantages and disadvantages of fraud detection methods are enumerated and compared.,method,2
70,"Furthermore, a classification of mentioned techniques into two main fraud detection approaches, namely, misuses (supervised) and anomaly detection (unsupervised) is presented.",method,2
71,"Again, a classification of techniques is proposed based on capability to process the numerical and categorical datasets.",method,2
72,Different datasets used in literatureare then described and grouped into real and synthesized data and the effective and common attributesare extracted for further usage.,method,2
73,This paper proposes a new algorithm for K-medoids clustering which runs like the K-means algorithm and tests several methods for selecting initial medoids.,background,0
74,The proposed algorithm calculates the distance matrix once and uses it for finding new medoids at every iterative step.,background,0
75,"To evaluate the proposed algorithm, we use some real and artificial data sets and compare with the results of other algorithms in terms of the adjusted Rand index.",background,0
76,Experimental results show that the proposed algorithm takes a significantly reduced time in computation with comparable performance against the partitioning around medoids.,method,2
77,2008 Elsevier Ltd.,other,4
78,All rights reserved.,other,4
79,"In this paper, we propose a novel method for image inpainting based on a Deep Convolutional Generative Adversarial Network (DCGAN).",objective,1
80,"We define a loss function consisting of two parts: (1) a contextual loss that preserves similarity between the input corrupted image and the recovered image, and (2) a perceptual loss that ensures a perceptually realistic output image.",method,2
81,"Given a corrupted image with missing values, we use back-propagation on this loss to map the corrupted image to a smaller latent space.",method,2
82,The mapped vector is then passed through the generative model to predict the missing content.,method,2
83,The proposed framework is evaluated on the CelebA and SVHN datasets for two challenging inpainting tasks with random 80% corruption and large blocky corruption.,result,3
84,"Experiments show that our method can successfully predict semantic information in the missing region and achieve pixel-level photorealism, which is impossible by almost all existing methods.",result,3
85,We present and explore the effectiveness of several variations on the All-Moves-As-First (AMAF) heuristic in Monte-Carlo Go.,background,0
86,Our results show that: • Random play-outs provide more information about the goodness of moves made earlier in the play-out.,result,3
87,"• AMAF updates are not just a way to quickly initialize counts, they are useful after every play-out.",background,0
88,• Updates even more aggressive than AMAF can be even,background,0
89,Distant supervision for relation extraction is an efficient method to scale relation extraction to very large corpora which contains thousands of relations.,background,0
90,"However, the existing approaches have flaws on selecting valid instances and lack of background knowledge about the entities.",background,0
91,"In this paper, we propose a sentence-level attention model to select the valid instances, which makes full use of the supervision information from knowledge bases.",method,2
92,And we extract entity descriptions from Freebase and Wikipedia pages to supplement background knowledge for our task.,method,2
93,"The background knowledge not only provides more information for predicting relations, but also brings better entity representations for the attention module.",result,3
94,We conduct three experiments on a widely used dataset and the experimental results show that our approach outperforms all the baseline systems significantly.,result,3
95,Increasing use of the World Wide Web as a B2C commercial tool raises interest in understanding the key issues in building relationships with customers on the Internet.,background,0
96,Trust is believed to be the key to these relationships.,background,0
97,"Given the differences between a virtual and a conventional marketplace, antecedents and consequences of trust merit re-examination.",background,0
98,This research identifies a number of key factors related to trust in the B2C context and proposes a framework based on a series of underpinning relationships among these factors.,objective,1
99,The findings in this research suggest that people are more likely to purchase from the web if they perceive a higher degree of trust in e-commerce and have more experience in using the web.,objective,1
100,"Customer’s trust levels are likely to be influenced by the level of perceived market orientation, site quality, technical trustworthiness, and user’s web experience.",result,3
101,People with a higher level of perceived site quality seem to have a higher level of perceived market orientation and trustworthiness towards e-commerce.,method,2
102,"Furthermore, people with a higher level of trust in e-commerce are more likely to participate in e-commerce.",method,2
103,"Positive ‘word of mouth’, money back warranty and partnerships with well-known business partners, rank as the top three effective risk reduction tactics.",method,2
104,These findings complement the previous findings on e-commerce and shed light on how to establish a trust relationship on the World Wide Web.,result,3
105,"Most of a cell’s functional processes involve interactions among proteins, and a key challenge in proteomics is to better understand these complex interaction graphs at a systems level.",background,0
106,"Because of their importance in development and disease, protein-protein interactions (PPIs) have been the subject of intense research in recent years.",background,0
107,"In addition, a greater understanding of PPIs can be achieved through the detailed investigation of the protein domain interactions which mediate PPIs.",background,0
108,"In this chapter, we describe recent efforts to predict interactions between proteins and between protein domains.",background,0
109,We also describe methods that attempt to use protein interaction data to infer protein function.,method,2
110,"Protein-protein interactions directly contribute to protein functions, and implications about functions can often be made via PPI studies.",method,2
111,These inferences are based on the premise that the function of a protein may be discovered by studying its interaction with one or more proteins of known functions.,background,0
112,The second part of this chapter reviews recent computational approaches to predict protein functions from PPI networks.,result,3
113,Pose Machines provide a sequential prediction framework for learning rich implicit spatial models.,background,0
114,In this work we show a systematic design for how convolutional networks can be incorporated into the pose machine framework for learning image features and image-dependent spatial models for the task of pose estimation.,objective,1
115,The contribution of this paper is to implicitly model long-range dependencies between variables in structured prediction tasks such as articulated pose estimation.,objective,1
116,"We achieve this by designing a sequential architecture composed of convolutional networks that directly operate on belief maps from previous stages, producing increasingly refined estimates for part locations, without the need for explicit graphical model-style inference.",method,2
117,"Our approach addresses the characteristic difficulty of vanishing gradients during training by providing a natural learning objective function that enforces intermediate supervision, thereby replenishing back-propagated gradients and conditioning the learning procedure.",method,2
118,"We demonstrate state-of-the-art performance and outperform competing methods on standard benchmarks including the MPII, LSP, and FLIC datasets.",result,3
119,This paper presents a new algorithm to implement causal ordering.,background,0
120,Causal ordering was first proposed in the ISIS system developed at Cornell University.,background,0
121,The interest of causal ordering in a distr ibuted system is that it is cheaper to realize than total ordering.,method,2
122,"The implementation of causal ordering proposed in this paper uses logical clocks of Mat te rn-Fidge (which define a partial order between events in a distr ibuted system) and presents two advantages over the implementation in ISIS: (1) the information added to messages to ensure causal ordering is bounded by the number of sites in the system, and (2) no special protocol is needed to dispose of this added information when it has become useless.",method,2
123,The implementation of ISIS presents however advantages in the case of site failures.,result,3
124,"In this paper, we examine a number of SQL and socalled ""NoSQL"" data stores designed to scale simple OLTP-style application loads over many servers.",objective,1
125,"Originally motivated by Web 2.0 applications, these systems are designed to scale to thousands or millions of users doing updates as well as reads, in contrast to traditional DBMSs and data warehouses.",method,2
126,"We contrast the new systems on their data model, consistency mechanisms, storage mechanisms, durability guarantees, availability, query support, and other dimensions.",method,2
127,"These systems typically sacrifice some of these dimensions, e.g. database-wide transaction consistency, in order to achieve others, e.g. higher availability and scalability.",result,3
128,The wealth of social information presented on Facebook is astounding.,background,0
129,"While these affordances allow users to keep up-to-date, they also produce a basis for social comparison and envy on an unprecedented scale.",background,0
130,"Even though envy may endanger users’ life satisfaction and lead to platform avoidance, no study exists uncovering this dynamics.",background,0
131,"To close this gap, we build on responses of 584 Facebook users collected as part of two independent studies.",background,0
132,"In study 1, we explore the scale, scope, and nature of envy incidents triggered by Facebook.",background,0
133,"In study 2, the role of envy feelings is examined as a mediator between intensity of passive following on Facebook and users’ life satisfaction.",objective,1
134,"Confirming full mediation, we demonstrate that passive following exacerbates envy feelings, which decrease life satisfaction.",method,2
135,"From a provider’s perspective, our findings signal that users frequently perceive Facebook as a stressful environment, which may, in the long-run, endanger platform sustainability.",result,3
136,Speech separation is the task of separating target speech from background interference.,background,0
137,"Traditionally, speech separation is studied as a signal processing problem.",result,3
138,"A more recent approach formulates speech separation as a supervised learning problem, where the discriminative patterns of speech, speakers, and background noise are learned from training data.",background,0
139,"Over the past decade, many supervised separation algorithms have been put forward.",objective,1
140,"In particular, the recent introduction of deep learning to supervised speech separation has dramatically accelerated progress and boosted separation performance.",method,2
141,This paper provides a comprehensive overview of the research on deep learning based supervised speech separation in the last several years.,result,3
142,We first introduce the background of speech separation and the formulation of supervised separation.,method,2
143,"Then, we discuss three main components of supervised separation: learning machines, training targets, and acoustic features.",method,2
144,"Much of the overview is on separation algorithms where we review monaural methods, including speech enhancement speech-nonspeech separation, speaker separation multitalker separation, and speech dereverberation, as well as multimicrophone techniques.",objective,1
145,"The important issue of generalization, unique to supervised learning, is discussed.",method,2
146,This paper presents a new feature extraction algorithm for the challenging problem of the classification of myoelectric signals for prostheses control.,background,0
147,The algorithm employs the orientation between a set of descriptors of muscular activities and a nonlinearly mapped version of them.,background,0
148,It incorporates information about the Electromyogram (EMG) signal power spectrum characteristics derived from each analysis window while correlating that with the descriptors of previous windows for robust activity recognition.,background,0
149,"The proposed idea can be summarized in the following three steps: 1) extract power spectrum moments from the current analysis window and its nonlinearly scaled version in time-domain through Fourier transform relations, 2) compute the orientation between the two sets of moments, and 3) apply data fusion on the resulting orientation features for the current and previous time windows and use the result as the final feature set.",objective,1
150,EMG data collected from nine transradial amputees performing six classes of movements with different force levels is used to validate the proposed features.,result,3
151,"When compared to other well-known EMG feature extraction methods, the proposed features produced an improvement of at least 4%.",result,3
152,Sarcasm transforms the polarity of an apparently positive or negative utterance into its opposite.,background,0
153,We report on a method for constructing a corpus of sarcastic Twitter messages in which determination of the sarcasm of each message has been made by its author.,method,2
154,We use this reliable corpus to compare sarcastic utterances in Twitter to utterances that express positive or negative attitudes without sarcasm.,method,2
155,We investigate the impact of lexical and pragmatic factors on machine learning effectiveness for identifying sarcastic utterances and we compare the performance of machine learning techniques and human judges on this task.,method,2
156,"Perhaps unsurprisingly, neither the human judges nor the machine learning techniques perform very well.",result,3
157,This paper presents a consensus model in group decision making under linguistic assessments.,background,0
158,"It is based on the use of linguistic preferences to provide individuals' opinions, and on the use of fuzzy majority of consensus, represented by means of a linguistic quantifier.",background,0
159,"Several linguistic consensus degrees and linguistic distances are defined, acting on three levels.",method,2
160,"The consensus degrees indicate how far a group of individuals is from the maximum consensus, and linguistic distances indicate how far each individual is from current consensus labels over the preferences.",method,2
161,This consensus model allows to incorporate more human consistency in decision support systems.,result,3
162,Mobile business is a young promising industry created by the emergence of wireless data networks.,background,0
163,"Similar to other emerging industries, it is characterized by a large number of uncertainties at different levels, in particular concerning technology, business strategy and consumer demand.",background,0
164,"This paper focuses on the strategic uncertainties, where a large number of actors are trying a number of strategic approaches to position themselves in the most favourable position in the value system.",objective,1
165,This paper intends to apply a business model analysis methodology in order to better understand the strategic approaches of these actors.,method,2
166,"We argue that successful business models are likely to be the ones that best address the economic peculiarities underlying this industry, like mobility, network effects and natural monopolies.",objective,1
167,This paper addresses the problem of generating possible object locations for use in object recognition.,objective,1
168,We introduce selective search which combines the strength of both an exhaustive search and segmentation.,method,2
169,"Like segmentation, we use the image structure to guide our sampling process.",method,2
170,"Like exhaustive search, we aim to capture all possible object locations.",method,2
171,"Instead of a single technique to generate possible object locations, we diversify our search and use a variety of complementary image partitionings to deal with as many image conditions as possible.",method,2
172,"Our selective search results in a small set of data-driven, class-independent, high quality locations, yielding 99 % recall and a Mean Average Best Overlap of 0.879 at 10,097 locations.",result,3
173,The reduced number of locations compared to an exhaustive search enables the use of stronger machine learning techniques and stronger appearance models for object recognition.,result,3
174,In this paper we show that our selective search enables the use of the powerful Bag-of-Words model for recognition.,method,2
175,The selective search software is made publicly available (Software: http://disi.unitn.it/~uijlings/SelectiveSearch.html ).,other,4
176,Words have only one purpose in a technical context–the transmission of information.,background,0
177,"When they fail to do that, they lead to confusion and misunderstanding.",background,0
178,"""Distributed data processing"" and ""distributed processing"" are two phrases which illustrate that axiom.",method,2
179,"Like many other words in the lexicon of the computer professional, these have become cliches through over-use, losing much of their original meaning in the process.",background,0
180,This paper is an attempt to reverse that trend.,objective,1
181,Generative Adversarial Networks have emerged as an effective technique for estimating data distributions.,background,0
182,The basic setup consists of two deep networks playing against each other in a zero-sum game setting.,objective,1
183,"However, it is not understood if the networks reach an equilibrium eventually and what dynamics makes this possible.",objective,1
184,"The current GAN training procedure, which involves simultaneous gradient descent, lacks a clear game-theoretic justification in the literature.",method,2
185,"In this paper, we introduce regret minimization as a technique to reach equilibrium in games and use this to motivate the use of simultaneous GD in GANs.",method,2
186,"In addition, we present a hypothesis that mode collapse, which is a common occurrence in GAN training, happens due to the existence of spurious local equilibria in non-convex games.",result,3
187,"Motivated by these insights, we develop an algorithm called DRAGAN that is fast, simple to implement and achieves competitive performance in a stable fashion across different architectures, datasets (MNIST, CIFAR-10, and CelebA), and divergence measures with almost no hyperparameter tuning.",result,3
188,"Blendshapes”, a simple linear model of facial expression, is the prevalent approach to realistic facial animation.",background,0
189,"It has driven animated characters in Hollywood films, and is a standard feature of commercial animation packages.",background,0
190,"The blendshape approach originated in industry, and became a subject of academic research relatively recently.",background,0
191,"This course describes the published state of the art in this area, covering both literature from the graphics research community, and developments published in industry forums.",method,2
192,"We show that, despite the simplicity of the blendshape approach, there remain open problems associated with this fundamental technique.",method,2
193,This paper investigates the popular neural word embedding method Word2vec as a source of evidence in document ranking.,objective,1
194,"In contrast to NLP applications of word2vec, which tend to use only the input embeddings, we retain both the input and the output embeddings, allowing us to calculate a different word similarity that may be more suitable for document ranking.",method,2
195,"We map the query words into the input space and the document words into the output space, and compute a relevance score by aggregating the cosine similarities across all the query-document word pairs.",method,2
196,"We postulate that the proposed Dual Embedding Space Model (DESM) provides evidence that a document is about a query term, in addition to and complementing the traditional term frequency based approach.",method,2
197,Social media is bringing great challenges and wonderful opportunities for organizational learning.,background,0
198,"With support of social media, organizations may facilitate the knowledge management process within firms (e.g., knowledge sharing), then to encourage employees to promote collaborative learning behaviors from e-learning to social learning.",method,2
199,There is a significant trend in the recent studies is increasing number of publications on social media supported knowledge management (SMKM).,method,2
200,"However, previous SMKM studies have not been depicted well by combining work of both researchers in social media study and ones in KM (which supports organizational learning) study.",background,0
201,"By using CiteSpace, this paper mapped important references that lead trends of SMKM development, authors contributing greatly to this field and hot topics of all the related articles.",objective,1
202,The way that SMKM study developed was analyzed according to the visualization of references and topics.,method,2
203,"Furthermore, the two most important groups – topics from SM and those from KM study were studied respectively to compare their development in order to show the fusion, the separation and other relationship.",method,2
204,"Finally, hottest trends and topics in these years and recent future were discussed to provide help for future work.",method,2
206,Scalable and effective exploration remains a key challenge in reinforcement learning (RL).,background,0
207,"While there are methods with optimality guarantees in the setting of discrete state and action spaces, these methods cannot be applied in high-dimensional deep RL scenarios.",background,0
208,"As such, most contemporary RL relies on simple heuristics such as -greedy exploration or adding Gaussian noise to the controls.",background,0
209,"This paper introduces Variational Information Maximizing Exploration (VIME), an exploration strategy based on maximization of information gain about the agent’s belief of environment dynamics.",objective,1
210,"We propose a practical implementation, using variational inference in Bayesian neural networks which efficiently handles continuous state and action spaces.",method,2
211,"VIME modifies the MDP reward function, and can be applied with several different underlying RL algorithms.",method,2
212,"We demonstrate that VIME achieves significantly better performance compared to heuristic exploration methods across a variety of continuous control tasks and algorithms, including tasks with very sparse rewards.",result,3
213,A common way of dynamically scheduling jobs in a manufacturing system is by implementing dispatching rules.,background,0
214,The issues with this method are that the performance of these rules depends on the state the system is in at each moment and also that no “ideal” single rule exists for all the possible states that the system may be in.,method,2
215,"Therefore, it would be interesting to use the most appropriate dispatching rule for each instance.",method,2
216,"To achieve this goal, a scheduling approach that uses machine learning can be used.",method,2
217,"Analyzing the previous performance of the system (training examples) by means of this technique, knowledge is obtained that can be used to decide which is the most appropriate dispatching rule at each moment in time.",method,2
218,"In this paper, a literature review of the main machine learning based scheduling approaches from the last decade is presented.",result,3
219,The linear combination of forecasts is a procedure that has improved the forecasting accuracy for different time series.,background,0
220,"In this procedure, each method being combined is associated to a numerical weight that indicates the contribution of the method in the combined forecast.",background,0
221,We present the use of machine learning techniques to define the weights for the linear combination of forecasts.,method,2
222,"In this paper, a machine learning technique uses features of the series at hand to define the adequate weights for a pre-defined number of forecasting methods.",method,2
223,"In order to evaluate this solution, we implemented a prototype that uses a MLP network to combine two widespread methods.",result,3
224,The experiments performed revealed significantly accurate forecasts.,result,3
225,This paper presents a survey on the current state-of-the-art in Wireless Sensor Network (WSN) Operating Systems (OSs).,background,0
226,"In recent years, WSNs have received tremendous attention in the research community, with applications in battlefields, industrial process monitoring, home automation, and environmental monitoring, to name but a few.",background,0
227,A WSN is a highly dynamic network because nodes die due to severe environmental conditions and battery power depletion.,background,0
228,"Furthermore, a WSN is composed of miniaturized motes equipped with scarce resources e.g., limited memory and computational abilities.",background,0
229,"WSNs invariably operate in an unattended mode and in many scenarios it is impossible to replace sensor motes after deployment, therefore a fundamental objective is to optimize the sensor motes' life time.",background,0
230,"These characteristics of WSNs impose additional challenges on OS design for WSN, and consequently, OS design for WSN deviates from traditional OS design.",background,0
231,"The purpose of this survey is to highlight major concerns pertaining to OS design in WSNs and to point out strengths and weaknesses of contemporary OSs for WSNs, keeping in mind the requirements of emerging WSN applications.",objective,1
232,"The state-of-the-art in operating systems for WSNs has been examined in terms of the OS Architecture, Programming Model, Scheduling, Memory Management and Protection, Communication Protocols, Resource Sharing, Support for Real-Time Applications, and additional features.",method,2
233,These features are surveyed for both real-time and non-real-time WSN operating systems.,result,3
234,Biham and Kocher demonstrated that the PKZIP stream cipher was weak and presented an attack requiring thirteen bytes of plaintext.,background,0
235,The deflate algorithm “zippers” now use to compress the plaintext before encryption makes it difficult to get known plaintext.,background,0
236,We consider the problem of reducing the amount of known plaintext by finding other ways to filter key guesses.,method,2
237,"In most cases we can reduce the amount of known plaintext from the archived file to two or three bytes, depending on the zipper used and the number of files in the archive.",method,2
238,"For the most popular zippers on the Internet, there is a fast attack that does not require any information about the files in the archive; instead, it gets doubly-encrypted plaintext by exploiting a weakness in the pseudorandom-number generator.",method,2
239,The negative consequences of cyberbullying are becoming more alarming every day and technical solutions that allow for taking appropriate action by means of automated detection are still very limited.,background,0
240,"Up until now, studies on cyberbullying detection have focused on individual comments only, disregarding context such as users’ characteristics and profile information.",background,0
241,In this paper we show that taking user context into account improves the detection of cyberbullying.,method,2
242,The 1990s saw the emergence of cognitive models that depend on very high dimensionality and randomness.,background,0
243,"They include Holographic Reduced Representations, Spatter Code, Semantic Vectors, Latent Semantic Analysis, Context-Dependent Thinning, and Vector-Symbolic Architecture.",background,0
244,"They represent things in high-dimensional vectors that are manipulated by operations that produce new high-dimensional vectors in the style of traditional computing, in what is called here hyperdimensional computing on account of the very high dimensionality.",objective,1
245,"The paper presents the main ideas behind these models, written as a tutorial essay in hopes of making the ideas accessible and even provocative.",method,2
246,"A sketch of how we have arrived at these models, with references and pointers to further reading, is given at the end.",method,2
247,"The thesis of the paper is that hyperdimensional representation has much to offer to students of cognitive science, theoretical neuroscience, computer science and engineering, and mathematics.",result,3
248,"A new, simple, and symmetric algorithm can be implemented that results in higher levels of detail in solid objects than previously possible with autostereograms.",background,0
249,"In a stereoscope, an optical instrument similar to binoculars, each eye views a different picture and thereby receives the specific image that would have arisen naturally.",background,0
250,An early suggestion for a color stereo computer display involved a rotating filter wheel held in front of the eyes.,background,0
251,"In contrast, this article describes a method for viewing on paper or on an ordinary computer screen without special equipment, although it is limited to the display of 3D monochromatic objects.",method,2
252,"(The image can be colored, say, for artistic reasons, but the method we describe does not allow colors to be allocated in a way that corresponds to an arbitrary coloring of the solid object depicted.)",method,2
253,The image can easily be constructed by computer from any 3D scene or solid object description.<<ETX>>,result,3
254,Downloading the book in this website lists can give you more advantages.,background,0
255,It will show you the best book collections and completed collections.,background,0
256,So many books can be found in this website.,background,0
257,"So, this is not only this ways of knowing in hci.",background,0
258,"However, this book is referred to read because it is an inspiring book to give you more chance to get experiences and also thoughts.",method,2
259,"This is simple, read the soft file of the book and you get it.",method,2
260,This paper presents a simulated memristor crossbar implementation of a deep Convolutional Neural Network (CNN).,background,0
261,In the past few years deep neural networks implemented on GPU clusters have become the state of the art in image classification.,background,0
262,They provide excellent classification ability at the cost of a more complex data manipulation process.,background,0
263,"However once these systems are trained, we show that the analog crossbar circuits in this paper can highly parallelize the recognition phase of a CNN algorithm.",method,2
264,One of the drawbacks of using memristors to carry out computations is that the data stored will likely have less precision when compared to typical 32-bit floating point memory.,method,2
265,"However, we show the proposed system is capable of operating with zero loss in classification accuracy if the memristors utilized are able to store at least 16 unique values (essentially acting as 4-bit devices).",method,2
266,"To the best of our knowledge, this is the first paper that presents a memristor based circuit for implementing CNN recognition.",result,3
267,This is also the first paper that provides a circuit for precise memristor based analog convolution.,result,3
268,"We introduce a novel technique for knowledge transfer, where knowledge from a pretrained deep neural network (DNN) is distilled and transferred to another DNN.",method,2
269,"As the DNN performs a mapping from the input space to the output space through many layers sequentially, we define the distilled knowledge to be transferred in terms of flow between layers, which is calculated by computing the inner product between features from two layers.",method,2
270,"When we compare the student DNN and the original network with the same size as the student DNN but trained without a teacher network, the proposed method of transferring the distilled knowledge as the flow between two layers exhibits three important phenomena: (1) the student DNN that learns the distilled knowledge is optimized much faster than the original model, (2) the student DNN outperforms the original DNN, and (3) the student DNN can learn the distilled knowledge from a teacher DNN that is trained at a different task, and the student DNN outperforms the original DNN that is trained from scratch.",method,2
271,We propose the use of dimensionality reduction as a defense against evasion attacks on ML classifiers.,background,0
272,"We present and investigate a strategy for incorporating dimensionality reduction via Principal Component Analysis to enhance the resilience of machine learning, targeting both the classification and the training phase.",background,0
273,We empirically evaluate and demonstrate the feasibility of dimensionality reduction of data as a defense mechanism against evasion attacks using multiple real-world datasets.,result,3
274,"Our key findings are that the defenses are (i) effective against strategic evasion attacks in the literature, increasing the resources required by an adversary for a successful attack by a factor of about two, (ii) applicable across a range of ML classifiers, including Support Vector Machines and Deep Neural Networks, and (iii) generalizable to multiple application domains, including image classification, and human activity classification.",result,3
275,In this paper we critically review task analysis models and techniques.,objective,1
276,"These approaches to task analysis are discussed in order to develop a richer picture of human activity, while analyzing their limitations, general weaknesses, and possibilities for improvement.",result,3
