,text,label_str,label
2678,comparison of 2 types of shunt induced pulmonary hypertension and preliminary investigation on heparin s effects on pulmonary vascular remodeling,medicine,0
4325,bryophytes from jureia itatins ecological station sao paulo state brazil briofitas da estacao ecologica jureia itatins estado de sao paulo brasil,geography,4
1034,a modified ecological footprint method and its application to australia,economics,3
1520,the responsibility of government in establishment of new type rural cooperative medical service,business,5
931,principals your job is a hazard to your health,psychology,1
5110,the land rights of individuals among the nyakyusa by godfrey wilson rhodes livingstone papers no i published by the rhodes livingstone institute livingstone n rhodesia pp 52 1938 2s,politics,2
4747,using computerized physician order entry to decrease insurance denials,medicine,0
633,preservation and formation of famous urban tourist scenery in guangzhou,geography,4
3023,critical success factors for various strategies in the banking industry,business,5
498,hsp70 mediates inflammatory cardiac dysfunction via toll like receptors link between innate immune modulators and cardiomyocyte contractility,medicine,0
1593,the property interest in social security benefits,economics,3
415,the algorithm and performance analysis of the reduced almanac of gps civil navigation message,geography,4
2522,to kill a thief,politics,2
2881,in defense of detention and suspension,psychology,1
4505,the management of file information resources of universities based on the demands of their requiring subjects,business,5
3655,the integrated medical record dicom structured reporting,medicine,0
757,primeiras reflexoes sobre a formacao continuada de professores dos assentamentos de reforma agraria de campo florido mg,politics,2
1894,of course it happens here,politics,2
1041,the changing face of clinical psychology impact of service delivery changes,psychology,1
5391,geographic and seasonal variation in the black collared lovebirdc agapornis swindernian,geography,4
4755,cough detection algorithm for monitoring patient recovery from pulmonary tuberculosis,medicine,0
2722,long distance monitoring and diagnosis of equipment based on internet,business,5
5549,le jatropha une source alternative d energie pour le monde rural,politics,2
596,on the public outdoor lersure space of cities and their features,geography,4
4073,asset specificity and corporate political activity in regulated industries,politics,2
4481,twelve working approaches to historical geography,geography,4
5386,a companion to aristotle s politics,politics,2
652,simplification of spatial cognition equality navigation digital map,geography,4
2119,schopferische unvernunft rolle und grenze des irrationalen in der wissenschaft,psychology,1
1456,model based estimation of cardiac output and total peripheral resistance,medicine,0
5132,independence of the regulator and performance of mobile networks in arab countries econometric application,politics,2
3710,health economic analyses of current management of patients hospitalized with community acquired pneumonia in europe 2010 2011 retrospective study to assess the clinical management of patients with moderate to severe cssti or cap infections in the hospital ,medicine,0
1371,street petrol station shops as an alternative to missing local food suppliers contribution to the german discourse on daseinsvorsorge a german view,politics,2
2916,the preliminary exploration on education connotation of the biology introduction and its experiment curriculum,economics,3
75,the harmonization and the conflict between the privacy right and the freedom of press,politics,2
4237,enlightenment and conservatism in the dutch republic the political thought of elie luzac 1721 1796,politics,2
3166,international hrm the dutch experience,business,5
3875,360 degrees of pedagogy,politics,2
3426,public perceptions of traumatic events and policy preferences during the george w bush administration a portrait of america in turbulent times,politics,2
5581,form and agency in raz s legal positivism,politics,2
1379,on the necessity of guangdong enterprise university institute binding mechanism creation,business,5
1786,study toward the understanding of behavioral intention to use a customer relationship management crm systems,business,5
5374,entre adolescentes y adultos en la escuela puntuaciones de epoca,politics,2
1543,80 two new interesting tertiary hydrozoa from the philippine islands,geography,4
1010,wales and devolution a constitutional footnote,politics,2
1029,lawrence s kubie s psychoanalysis,psychology,1
1777,review of crime and society an introduction to criminology,psychology,1
828,una regla fonologica del espanol chicano la supresion de y en el espanol chicano,politics,2
1420,an empirical study of c2ce commerce consumer behavior in context of big data,business,5
96,god invented war to teach americans geography,politics,2
3306,on a suitable name for the new planet,geography,4
4986,relocation realignment and standardisation circuits of translation in huntington s disease,politics,2
4390,regional policies industrial attributes and the evolution of central enterprises spatial distribution,business,5
1200,the septic milieu induces splicing of tissue factor pre mrna in human platelets,medicine,0
621,the protection of creditors of a european private company spe,politics,2
566,the family and social change a study of family and kinship in a south wales town,politics,2
543,apres l inscription de la coupe de nestor disposition du texte et formes de transtextualite dans les epigrammes de l epoque archaique en grande grece et sicile,economics,3
2288,book review latin america a source book of instructional materials eleanor c delaney,psychology,1
51,palynological evidence for climatic change along the eastern iberian peninsula and balearic islands,geography,4
1319,national identities and attitudes to constitutional change in post devolution uk a four territories comparison,politics,2
4643,on the system assessment of sustainable urban development kaifeng city for example,economics,3
745,jester fake journalist or the new walter lippmann recognition processes of jon stewart by the u s journalistic community,politics,2
3973,research on article 24 of gatt rules cases and future,economics,3
1507,the political uses of social research,politics,2
1471,remote sensing of plant communities as a tool for assessing the condition of semiarid mediterranean saline wetlands in agricultural catchments,geography,4
195,dynamic emulation of the effects from individual tree to lower solar radiation distribution,geography,4
3614,chapter 302 advantages and disadvantages of declaring bankruptcy,business,5
4897,nutrition sensitive food systems from rhetoric to action,politics,2
3326,spatial characterization and mapping of gated communities,geography,4
802,commodities brands love and kula comparative notes on value creation in honor of nancy munn,politics,2
3749,a j youngson urban development and the royal fine art commission edinburgh edinburgh university press 1990 pp vii and 186 25 00,politics,2
620,star gazing funds should come down to earth,geography,4
3480,book review pressure of population and economic efficiency in india d ghosh,economics,3
3697,deforestation and the paris climate agreement an assessment of redd in the national climate action plans,politics,2
3865,cerebral palsy in childhood,psychology,1
4694,a patient survey of sleep quality in the intensive care unit,medicine,0
3381,do they matter in education politics the influence of political parties and teacher unions on school governance reforms in spain,politics,2
4829,review asia opening financial marketsopening financial markets banking politics on the pacific rim paulylouis w ithaca ny cornell university press 1988 xvi 256pp us 29 95,politics,2
644,urban areas prove profitable for farmers selling directly to consumers,economics,3
3914,depressive symptoms and sleep disturbance in adults with histories of childhood abuse,psychology,1
5338,l action politique partisane a la ftq 1957 1976,politics,2
3906,agriculture and nation building do students still use the university library case study of university of ibadan agricultural economics graduate students,economics,3
120,the spanish labyrinth an account of the social and political background of the spanish civil war gerald brenan new york cambridge university press canto edition 1990 pp 384 incl index 10 95,politics,2
2561,listening to the vocal citizens how do politically active individuals choose between lifesaving programmes,psychology,1
4236,buying votes with imperfect local knowledge and a secret ballot,politics,2
3671,adolescent process and family organization a model of development as a function of family paradigm,psychology,1
4501,la practica professional i la seva vinculacio amb la creacio i gestio del coneixement col lectiu,politics,2
5478,lettre a la redactionfidelite test retest de l echelle d anxiete et de depression revisee rcads et de la grille d evaluation des troubles anxieux forme revisee scared r reliability of the test retest of the revised child anxiety and depression scale rcads ,psychology,1
4903,accounting standard setters are taking the issue of brand recognition seriously,business,5
4233,a twin study into the genetic and environmental influences on academic performance in science in nine year old boys and girls,psychology,1
3050,assessment of a multiple dose drug interaction between ezetimibe a novel selective cholesterol absorption inhibitor and gemfibrozil,medicine,0
4314,escape time ii the contribution of automatic acquisition,geography,4
3634,the nature and importance of the foundations of education in a teacher education program at a black university,economics,3
134,the new demand on business administration in era of knowledge driven economy,business,5
3065,organic mood syndrome associated with detoxification from methadone maintenance,psychology,1
3670,on programmes universities and jacobins or 1992 vision and reality for european higher education,economics,3
3592,impact of lowari tunnel on the socio economic lives of the people a case of district chitral pakistan,business,5
5375,dhat semen loss syndrome a functional somatic syndrome of the indian subcontinent,psychology,1
4375,biofuels a major rural economic development opportunity,economics,3
1820,the legislative battle in washington to improve trade relations,economics,3
511,the smearing of joe mccarthy the lavender scare gossip and cold war politics,politics,2
62,re trees over boundaries,geography,4
3318,translation for person centred care the role of web based decision support using multi criteria decision analysis,medicine,0
3013,the influence of chinese finanial supervision when china joins wto,business,5
1620,categorical processing of visual stimuli in relation to geometrical graphemic or lexical context,psychology,1
5148,breathing the professional development school spirit into all schools,psychology,1
5461,the gene traders security or profit in food production,economics,3
2025,three dimensional display component for rural folk custom tourism three dimensional display component for rural folk custom tourism,geography,4
122,transparency will influence how members choose providers,business,5
3721,the soviet bio chemical threat the real issue,economics,3
3910,parent perceptions of the anticipated needs and expectations for support for their college bound students with asperger s syndrome,psychology,1
3473,rice farming of yi mun geon family in seongiu during the middle of the 16th century,geography,4
2787,considerations in staffing for overseas management needs,business,5
1210,regional convergence in the enlarged european union,economics,3
567,web based corporate social and video recruitment media effects of media richness and source credibility on organizational attraction,psychology,1
2945,carrot motley dwarf in the pacific northwest,geography,4
3975,hiroshi shimbo price movements and economic development in tokugawa japan a quantitative investigation of the pre modern society,economics,3
864,emancipacion y vivienda una identidad con tres componentes,geography,4
5236,reflection on constructing a harmonious enterprise,business,5
3926,work and flourishing williams critique of morality and its implications for professional ethics,politics,2
1505,environmental psychology the urban built environment impact on human mental health,psychology,1
2223,book review josephus and judaean politicsschwartzseth josephus and judaean politics columbia studies in the classical tradition vol 18 leiden e j brill 1990 pp 257 rrp us 50 00,politics,2
5044,russian soft power origins institutions effectiveness,politics,2
720,contesting the nature relations of sami culture,politics,2
3378,the influence of the political social and religious measures upon caste during british india,politics,2
2531,bell s palsy,psychology,1
690,corporate boards ownership structures and corporate disclosures evidence from a developing country,business,5
602,insights and limits of usability evaluation methods along the health information technology lifecycle,medicine,0
1483,ownership structure and corporate voluntary disclosure evidence from taiwan,business,5
1788,can visual discomfort influence on muscle pain and muscle load for visual display unit vdu workers,medicine,0
4280,agricultural productivity changes induced by the sloping land conversion program an analysis of wuqi county in the loess plateau region,economics,3
5304,career versus political a statistical overview of presidential appointments of united states chiefs of mission since 1915,politics,2
4290,brain torque relates to laterality of motor function but not hand preference,psychology,1
5408,co integration anaysis of science and technology inputs fixed assets and agricultural economic growth in hainan,economics,3
318,modulation of the renin angiotensin system in proteinuric renal disease are there added benefits,medicine,0
1907,geographical information services a uk perspective on the development of interorganisational information services,business,5
274,making letters distinctive,psychology,1
4818,research into the planning of regional logistics information platform,business,5
1554,user experience research paradigm in internet of things environment,business,5
2664,clinician adoption of genetic testing for drug metabolizing enzymes is patient safety the low hanging fruit of personalized medicine,medicine,0
3107,the characteristics of the mountain culture of the miao costume in southern sichuan,geography,4
4738,morbidity and mortality in patients with idiopathic pulmonary fibrosis undergoing diagnostic surgical lung biopsy,medicine,0
2024,uluslararasi ogrencilerin yasam durumlari kirklareli ve trakya universiteleri ornegi,psychology,1
4406,using spatial statistics to examine the pattern of urban land development in halifax dartmouth,geography,4
5398,the explanatory power and status of power and status,psychology,1
295,inhibition of cigarette smoke induced chemokine production by the nrf2 activator sulforaphane,medicine,0
1558,organization of synaptic inputs to paracerebral feeding command interneurons of pleurobranchaea californica i excitatory inputs,psychology,1
2550,spatial distribution of the military settlement of the great wall in ming dynasty based on voronoi diagram,geography,4
298,has the change in central bank autonomy legislation altered the monetary transmission channels in nigeria,business,5
68,social milieu and language,politics,2
736,pengaruh profitabilitas leverage likuiditas dan ukuran perusahaan terhadap peringkat obligasi perusahaan non keuangan yang terdaftar di bursa efek indonesia 2011 2016,business,5
2080,an organ centric best practice assist system for acute care,medicine,0
4707,education choice under uncertainty implications for public policy,economics,3
1578,a study of spray cryotherapy in malignant airway disease to determine safety side effects and efficacy in the lung ice the mad,medicine,0
150,treatment to the disaster debris flow among the qingshan river mashankou town henan province,geography,4
756,on constituting regulations of the police s function in preventing domestic violence,business,5
1666,development of equity and altruism in judgment of reward and damage allocation,psychology,1
3574,francoise jacquin francoise ed massignon abd el jalil parrain et filleul 1926 1962 correspondance,politics,2
4065,eye spots do not increase altruism in children,psychology,1
3576,broca s study in aphasia and his contributions to neurolinguistics,psychology,1
2464,manhood and politics the bankhead hobson campaigns of 1904 and 1906,politics,2
376,single blind placebo controlled study of the efficacy and safety of ondansetron and fluoxetine in patients with obstructive sleep apnea,medicine,0
1526,the struggle for power in syria sectarianism regionalism and tribalism in politics 1961 1978,politics,2
859,uma analise das contribuicoes publicadas na revista brasileira de estudos pedagogicos,politics,2
1374,family life education,politics,2
3545,women s agency maternalism and welfare,politics,2
1397,museum politics power plays at the exhibition,politics,2
378,factores ambientales en la distribucion de la seca en la encina quercus ilex subsp ballota environmental variables in the distribution of la seca disease in the holm oak quercus ilex subsp ballota,geography,4
4998,no modification of elastase induced lung emphysema in rats by carbon black or titanium dioxyde nanoparticles,medicine,0
1294,siblings caring roles in families with a child with epilepsy,politics,2
3017,small scale farmers indigenous agricultural adaptation options in the face of declining or stagnant crop yields in the fako and meme divisions of cameroon,economics,3
2373,composition of space inspired by archetypes of culture like entrance into the cities landscape planning,geography,4
3091,development of fruiting mei industry in erbao yunnan province,geography,4
4711,the institute of australian geographers conference 1983 a minority view,geography,4
5166,an analysis of the spatial relation of tourism development of 17 cities in anhui province,geography,4
841,what should we expect from farmer field schools a sri lanka case study,economics,3
4547,cardio respiratory uncoupling in congenital central hypoventilation syndrome,medicine,0
1189,legal standards of retirement insurance and the russian actuarial pension plans,business,5
175,the role legal environment for shanghai to become an international financial center,business,5
2692,additions to the british microlepidoptera,geography,4
927,scholarly consensus and journal rejection rates,politics,2
2862,it s like talking to a brick wall humanitarian diplomacy in the occupied palestinian territory,politics,2
45,the group as complicit in boundary violations commentary on dimen,psychology,1
1260,full board and lodging hostels for migrant workers in early postwar melbourne,politics,2
1096,on the properties of qi in ancient china,geography,4
2574,improvement of wavelet threshold and application in remote sensing images,geography,4
3619,tardive dyskinesia in a patient treated with quetiapine,psychology,1
4760,an african condition in a european tradition chinua achebe and the english language of native narratives,politics,2
2802,computer identification of symptomatic deep venous thrombosis associated with peripherally inserted central catheters,medicine,0
1030,a new risk assessment methodology for dermoscopic skin lesion images,medicine,0
4478,chemosensory attention habituation and detection in women and men,psychology,1
3869,advent of astronomical instruments and their impact the indian context,geography,4
3240,wordsworth and burke,politics,2
283,marius jucan mastile libertatii america in scrisorile lui thomas jefferson freedom s masks america seen through the letters of thomas jefferson,politics,2
4939,寒川 旭 揺れる大地 日本列島の地震史,geography,4
2181,the mineral resources of britain a study in exploitation and planning,economics,3
2348,herramienta software para optimizar la utilizacion de sistemas electromagneticos de prospeccion geofisica en la arqueologia,geography,4
2981,posture sensor cross leg detector at knee level,medicine,0
3891,marsha p hanen margaret j osler and robert g weyant eds science pseudo science and society waterloo ontario wilfrid laurier university press 1980 x 303 pp 7 50,politics,2
1499,bioenergy in mexico status and perspective,economics,3
4105,the explanation of prejudice and discrimination in diaozhuang resettlement of ningxia using anthropological theories,politics,2
4453,the determinants of the skill bias in italy r d organisation or globalisation,economics,3
1699,effects of cross sex hormones on cerebral activation during language and mental rotation an fmri study in transsexuals,psychology,1
2576,the sociology of religion a substantive and transdisciplinary approach,politics,2
5105,leadership as an exercise in virtual reality,psychology,1
2673,geospatial tools address emerging issues in spatial ecology a review and commentary on the special issue,geography,4
2291,research on the environmental factors of retail shops and stores under the influence of consumers purchase intention,business,5
3352,research on the factors influencing energy efficiency in the process of chinese agricultural mechanization,economics,3
2764,chronic pain treatment through virtual reality,medicine,0
4200,virtual file system on nosql for processing high volumes of hl7 messages,medicine,0
2191,analytical method development of zaleplon as bulk drug and formulation using chromogenic reagents,business,5
5103,improving access to tb medical records in remote clinics in peru using a personal digital assistant based application,medicine,0
257,property owning democracy civic education and the reasonable surfer,politics,2
507,the workfare state public assistance politics from the new deal to the new democrats by eva bertram philadelphia pa university of pennsylvania press 2015 pp 328 75 00 book review,politics,2
3396,economie politique tricontinentale les nouveaux paradigmes suds suds introduction,economics,3
99,between intimacy and enmity spain and the philippines post suez,politics,2
4241,grens aan mogelijkheden tot kortsluiting,economics,3
2792,the strange politics of canada s namu debate,politics,2
4020,the analysis on how to reform stated owned enterprises,business,5
3217,q method and ethnography in tourism research enhancing insights comparability and reflexivity,politics,2
3405,the role of culture in prescribing beliefs and practices for achieving success chinese versus javanese managers in indonesia,business,5
1550,corporate governance in transition economies the theory and practice of corporate governance in eastern europe,business,5
3873,development of a sarcoidosis murine model using mycobacterial antigens esat 6 and soda,medicine,0
3578,competition academique et modes de production scientifique des economistes francais,economics,3
4059,the power of combinations sutton griggs imperium in imperio and the science of collective efficiency,politics,2
4865,impact of celebrity endorsement on consumer behaviour,business,5
4582,sustainability versus profitability,economics,3
366,automatic identification of lumbar level with ultrasound,medicine,0
2962,susan baines and jane wheelock micro businesses owner managers in social context household family and growth or non growth paper presented to the 18th isba national conference paisley scotland november,politics,2
1694,based on china s development under globalization some knowledge of modern agricultural logistics,economics,3
4337,tribal rule and modern politics in northern rhodesia,politics,2
4266,aviation law report,business,5
949,lohne organisationskultur und managerstil zum zwecke eines erfolgreichen managements der verkaufskrafte,politics,2
3606,current ambient concentrations of ozone in panama modulate the leaf chemistry of the tropical tree ficus insipida,geography,4
19,discussion on developing direction of financial regulatory system in china,business,5
2887,immigrants and socialisation a new look,politics,2
668,comparison of in situ hyperspectral and landsat etm data for chlorophyll a mapping in case ii water krishnarajapuram lake bangalore,geography,4
218,resena de mexico frente a la inmigracion de refugiados judios 1934 1940 de daniela gleizer salzman,politics,2
4679,economics of potato storage in northern india,economics,3
3570,on influencing factors of mobile payment contrastive analysis of strategy of domestic and foreign operators,business,5
2209,mapping offender patient pathways in the different jurisdictions of the european union,psychology,1
4099,distributional impacts of alternative methods of financing higher education,economics,3
585,a platform for leveraging next generation sequencing for routine microbiology and public health use,medicine,0
4148,public transportation and the travel needs of women,business,5
3469,the national geography curriculum for basic education in portugal theory and practices by geography teachers,geography,4
4972,someday things will fall into place,geography,4
777,kodak beyond 1990,business,5
2018,a method to assess aspects of parent child relationships,psychology,1
1018,carol christ feminist thealogical method and the particular nature of women s experience,politics,2
3256,the european union and china the need for a more politicised relationship,politics,2
2809,careers research in europe identity and contribution,politics,2
3625,the use of primary process in psychotherapy ii transformational categories and the precipitating event,psychology,1
1919,the marginal stratum a phenomenon of social self identification,politics,2
3206,measuring food deserts via gis based multicriteria decision making the case of tehran,geography,4
2526,america s youth and community engagement how use of mass media is related to civic activity and political awareness in 14 to 22 year olds,psychology,1
517,the impact of subject matter on curricular activity an analysis of five academic subjects,psychology,1
1765,the mindspot clinic preliminary 18 month results from an online national australian mental health service delivering telephone and internet treatment for anxiety and depression,medicine,0
4454,public relations in education by clifford l brownell leo gans and tufie z maroon mcgraw hill book company inc 244 pp 4 50,politics,2
2399,analyses on the export competitiveness of the world top 10 exporters and policy implications,business,5
217,planting date by maturity group in kansas 2016 season and three year summary,geography,4
2333,effects of scheduling perceptions on attitudes and mobility in different part time employee types,psychology,1
2592,analysis of chinese characteristics in non governmental organization and causes,business,5
1877,factors influencing the action of morphine on acetylcholine release in the guinea pig intestine,psychology,1
2117,evolucion historica de las tecnologias de la informacion y su aplicacion en el proceso documental,politics,2
4085,selcuklularin erken doneminde vezirlik kurumu,politics,2
2642,taking the public by storm information cuing and the democratic process in the gulf conflict,politics,2
1052,the timing of farm machinery replacement,economics,3
1738,pesticidas na agua potavel padroes de qualidade e principio de precaucao na legislacao europeia,politics,2
759,criterios para o comenco da conveccao e a formacao de estruturas coerentes sobre camaguey cuba,geography,4
3319,sepic converter to perform power factor correction in a ballast for fluorescent lamps,medicine,0
1426,seminar on shariah courts in malaysia kuala lumpur 21 april 2015,business,5
1448,spatial dimension of externalities and the coase theorem implications for co existence of transgenic crops,economics,3
214,a ââa study on the problems perspectives and implicationsof the new direct benefit transfer scheme withreference to kanchipuram district of tamilnadua ââ,business,5
1630,correlation between local pulmonary artery stiffness and the acute vasoreactivity test in pulmonary arterial hypertension,medicine,0
2406,freight forwarding in australia by p j rimmer,geography,4
3253,response preparation in parkinson s disease automatic vs controlled processing,psychology,1
2998,drivers and outcomes of isomorphic behaviors of new ventures summary,business,5
3653,strategies for the deployment of ccs technologies in the uk a critical review,politics,2
4845,evaluation of a sight reading test administered to freshman piano classes,psychology,1
196,high growth entrepreneurs the relevance of business knowledge and work experience on venture success,business,5
2915,james w fernandez bwiti an ethnography of the religious imagination in africa princeton new jersey princeton university press 1982 731 pp 63 20 hardback 18 60 paperback,politics,2
3782,the global market of roundwood financial aspects,economics,3
1837,an exploration of maritime literature of chaoshan,geography,4
4024,let s reward quality tennessee s bold experiment,politics,2
1056,migrants and urban rights politics of xenophobia in south african cities,politics,2
4522,what is vital and not vital to advance economically competitive biofuels production,economics,3
887,inhaled diacetyl vapors and in vivo airway reactivity to methacholine mch in rats,medicine,0
4726,cobinamide and dos monitoring a potential new treatment approach for mass casualty cyanide poisoning,medicine,0
3733,chronic effect of bacopa monnieri in the management of intellectual disability mild to moderate,psychology,1
3094,note on the frequency of left handedness in african children,psychology,1
568,a case study on easing an institutional bottleneck in aged care,economics,3
3764,cross national empirical generalization in business services buying behavior,business,5
4951,uncovering the political impacts of gender an exploratory study,politics,2
1514,it feels good and bad to be fake the effect of counterfeit consumption on consumer feelings and purchase preference,business,5
4053,the brazilian bovine traceability system a critical appraisal,politics,2
139,an ecological interpretation of ernest thompson seton s wild animals i have known,politics,2
1658,does facebook make you lonely,psychology,1
1839,natural selection and morphological variability the case of europe from neolithic to modern times and comments and reply,politics,2
1149,big business in japanese politics chitoshi yanaga,politics,2
2133,problems and hopes of the social worker for public assistance,business,5
2197,security issues in e commerce,business,5
5448,using smartphones to monitor bipolar disorder symptoms a pilot study,psychology,1
463,japanese wage structure and its significance for international comparisons,economics,3
5162,modulation of long term potentiation in ca1 region of mouse hippocampal brain slices by gabaa receptor benzodiazepine site ligands,psychology,1
2715,fairness in international trade negotiations developing countries in the gatt and wto,economics,3
5419,modernizacija gps a gnss 2,geography,4
594,salivary α amylase reflects change in attentional demands during postural control comparison with probe reaction time,psychology,1
2702,war clouds on the horn of africa a crisis for detente,geography,4
450,measures of spatio temporal accuracy for time series land cover data,geography,4
2364,reinforcing effects of central ethanol injections in newborn rat pups,psychology,1
3803,fetal transplants rescue axial muscle representations in m1 cortex of neonatally transected rats that develop weight support,psychology,1
4839,treatment acceptability among mexican american parents,psychology,1
4762,a novel way of standardized and automized retrieval of timing information along clinical pathways,medicine,0
4484,relations between trees and landscape composition in the ukiyoe paintings drawn by hiroshige,geography,4
2093,lokasi optimal pengembangan tpi untuk mendukung perkembangan kawasan pesisir kecamatan kragan kabupaten rembang,geography,4
1600,book review the church design for survivalthe church design for survival by hinsone glenn nashville broadman press 1967 125 pp 1 95 paperback,politics,2
3047,why do some food availability policies fail a simulation approach to understanding food production systems in south east africa,economics,3
1174,on the regulation of quality culture to enterprise management function,business,5
4272,the american medical political action committee which senators get the money and why,politics,2
451,phosphodiesterase 4 inhibitors suppress chemokine release from human airway epithelial cells by a novel 15 lipoxygenase 2 and pparg dependent mechanism,medicine,0
4708,evaluation of bed rest using a bed temperature monitor after acute myocardial infarction,medicine,0
3724,tgf β dependent epithelial mesenchymal transition in normal human bronchial epithelial cells triggered by eosinophils and cyclic mechanical strain,medicine,0
4525,validating verdancy or vacancy the relationship of community gardens and vacant lands in the u s,politics,2
3646,container shipping network efficiency comparison in indonesia nusantara pendulum and sea tollway,business,5
4031,indoor air pollution from biomass fuel a risk factor for pulmonary dysfunction in women and children in ibadan nigeria,medicine,0
3409,an approach to leaching applied gis implementation for local organizations,geography,4
1263,the varddhana house of aulikaras,medicine,0
5243,heritability of aggression following social evaluation in middle childhood an fmri study,psychology,1
999,a feasible loss model for igbt in soft switching inverters,medicine,0
3311,nrf2 dependent immunomodulation by sulforaphane improves bacterial phagocytosis in copd macrophages and inhibits bacterial burden and inflammation in cigarette smoke exposed mice,medicine,0
5261,use of a data warehouse to monitor simvastatin tablet splitting,medicine,0
2477,integration of enterprise ambulatory appointment scheduling with personal digital assistant calendaring,medicine,0
1476,the future of conservatism,politics,2
192,the internationalization of entrepreneurship,business,5
4382,massive flood may have led to china s earliest empire,geography,4
5043,resource tangibility and foreign firms corporate political strategies in emerging economies evidence from india,politics,2
4674,determinants of ethnic group solidarity among mexican americans a research note,politics,2
2559,the douglas glacier and its neighbourhood discussion,geography,4
4727,trade peace and democracy an analysis of dyadic dispute,economics,3
4955,association for feminist anthropology politics of gender identity,politics,2
1338,facts or values how do parliamentarians and experts see nuclear power,economics,3
2516,the dexamethasone suppression test in infantile autism,psychology,1
3184,political institutions and constrained response to economic sanctions,politics,2
2463,molecular characterization of myosin phosphatase in endothelium,medicine,0
4907,a novel navigation system to guide metallic foreign body extraction,medicine,0
1293,finding the right personand collegiality,psychology,1
5396,bjorn bjorndal brondbo datahverdag et studieoplegg om edb individ og samfunn,politics,2
4688,uncertain progress in lesotho,politics,2
3096,review princes and artists patronage and ideology at four habsburg courts 1517 1633 by hugh trevor roper the courts of europe politics patronage and royalty 1400 1800 by a g dickens the making of the habsburg monarchy 1500 1700 an interpretation by r j w e,politics,2
