text,label_str,label
biologic width changes around loaded implants inserted in different levels in relation to crestal bone histometric evaluation in canine mandible,medicine,0
bankruptcy open to an arrangement as a way of resolving company s financial crisis upadlosc z mozliwoscia zawarcia ukladu jako sposob wyjscia z kryzysu finansowego przedsiebiorstwa,business,5
has the change in central bank autonomy legislation altered the monetary transmission channels in nigeria,business,5
the mormon village genesis and antecedents of the city of zion plan,geography,4
regional expansion in canine lungs using ct image registration a comparison of jacobian determinant and density methods,medicine,0
nmr spectroscopy reveals structural dynamics of alpha1 antitrypsin in health and disease,medicine,0
review of gae anderson tivoli king life of harry rickards vaudeville showman sydney allambie 2009,sociology,6
mapping landslide susceptibility with logistic regression multiple adaptive regression splines classification and regression trees and maximum entropy methods a comparative study,geography,4
computational aerodynamics of long segment congenital tracheal stenosis with bridging bronchus,medicine,0
connecting social media to e commerce cold start product recommendation using micro blogging information,business,5
assessment method am english communication and language eng and pre requisite knowledge of student pre a comparative study among universiti tenaga nasional uniten accounting students,psychology,1
tweet dreams are made of this who are we to disagree adventures in a brave new world of tweets twitter student engagement and excitement with learning,business,5
stuttering treatment outcome evaluation closing the credibility gap,psychology,1
empirical study on the effect of environmental factors on enterprise growth comparative analysis of chinese large scale industrial enterprises and small medium industrial enterprises,economics,3
clinical validation of the lower limit of normal in diffusing capacity to differentiate patients with emphysema from healthy subjects is the lower 5thpercentile really the best cut off value,medicine,0
understanding and preventing sudden cardiac death,medicine,0
a marxist perspective in perspective,politics,2
peak performance for the political leader,sociology,6
development and application of the new effective non medicamental methods of therapy of bronchial asthma in children in out patient conditions,medicine,0
the ottoman crisis in western anatolia turkey s belle epoque and the transition to a modern nation state,politics,2
muslim spain its history and culture chejne anwar g minneapolis the university of minnesota press 559 pp publication date march 5 1974,sociology,6
grants self improvement strengthen ability construct a solid support pattern for the impoverished college students,politics,2
modulation of the renin angiotensin system in proteinuric renal disease are there added benefits,medicine,0
uber die eisverhaltnisse des baltischen meeres an den kusten finnlands nebst einem atlas,geography,4
nrf2 regulation of hyperoxia mediated nox4 expression and ros production in lung endothelium role of rac1 map kinases and redox status,medicine,0
a contest of black charm a comparison of black cat and the ministers black veil,sociology,6
modelos do maranhao,geography,4
daniel merkur powers which we do not know the gods and spirits of the inuit moscow university of idaho press 1991 x 280 pp isbn 0 89301 148 7 34 95 19 95 ppbk,sociology,6
wctc managing for profit,business,5
industrial production in kenya,business,5
a study on the effects of social presence on perceived interactivity in the internet retail environment,business,5
pengaruh kesehatan bank terhadap pertumbuhan laba dengan menggunakan rasio keuangan,business,5
emotional tone and argumentation in risk communication,psychology,1
modeling an agricultural system based on a bayesian network model for modeling of agricultural technology in environmental conservation agriculture,economics,3
strategic adaptation as the regional socio economic system innovation development imperative,business,5
pulmonary capillary dynamics and resuscitation fluid therapies in burn patients,medicine,0
the quantitative assessment of gd dtpa in contrast enhanced magnetic resonance angiography,medicine,0
role of soil depletion in land valuation,economics,3
this side of the mountain,psychology,1
erratum to ghg reduction potential of changes in consumption patterns and higher quality levels evidence from swiss household consumption survey energy policy 37 2009 pp 5650 5661,economics,3
warfarin pharmacodynamics and pharmacokinetics are not affected by the soluble guanylate cyclase stimulator riociguat bay 63 2521 results of a randomized controlled trial,medicine,0
blindness in fiction a study of the attitude of authors towards their blind characters,psychology,1
komparative vorteile von nicht regierungsorganisationen verstehen,politics,2
prospective cohort study of positive pressure mechanical ventilation in chronic respiratory diseases japan national hospital organization ebm study for positive pressure ventilation,medicine,0
what subjects should pre dental students study,sociology,6
glucocorticosteroids gcs prevent the pro asthmatic effects of prolonged homologous beta2 adrenergic receptor β2ar desensitization in airway smooth muscle asm by inhibiting phosphodiesterase 4 pde4 expression,medicine,0
cad based object reconstruction using line photogrammetry for direct interaction between gems and a vision system,geography,4
final committee position on the agc s recommendation that approved securities be posted in lieu of retained percentages,business,5
from here to there methods of allocating data between census geography and socially meaningful areas,geography,4
interactions between magnesium biomaterials and differentiated human tracheobronchial epithelial cells,medicine,0
breathlessness after deep brain stimulation surgery a pilot study,medicine,0
liability surcharge ama board backs patient fee for rising premiums,business,5
navigation performance analysis using combined single frequency gps galileo observations,geography,4
automatic replenishment programs an empirical examination,business,5
review the economics of equal opportunities,economics,3
content causal powers and context,sociology,6
the premature abandonment of machinery,economics,3
meiji japan s china solution to tokugawa japan s china problem,politics,2
uk schools cctv and the data protection act 1998,sociology,6
the play as novel reappropriating brecht s drums in the night,sociology,6
discussion on requirements for university counselors qualities and abilities,politics,2
commentary on paradigms and key word index for ndpls articles 1997 2006,psychology,1
effect of olanzapine on functional responses from sensitized d1 dopamine receptors in rats with neonatal dopamine loss,psychology,1
liberty equality honor,politics,2
the influence of investment in education on inclusive growth empirical evidence from romania vs eu,politics,2
territories among hunter gatherers the ritual dimension of landscapes the central patagonian plateau argentina,geography,4
factors that influence the growth of china s foreign exchange reserve and a related empirical test,economics,3
on contact relationship between cantonese and zhuang language in southwestern guangxi,geography,4
malgache et maanjan une comparaison linguistique,psychology,1
a test of the bigger fool thought of conglomerate valuation,business,5
automatic identification of lumbar level with ultrasound,medicine,0
ofrenes smerte seernes ubehag etiske utfordringer i katastrofenyheter,sociology,6
clinicolegal considerations of monovision,psychology,1
evaluacion y aprendizaje,psychology,1
methylation patterns of cox 2 promoter affect gene transcription and pge2 levels post bone marrow transplant,medicine,0
international diversification the within and between region effects,economics,3
hukum progresif upaya untuk mewujudkan ilmu hukum menjadi sebenar ilmu pengetahuan hukum,psychology,1
service quality in the telecommunication industry analysis with special reference to dsl services,business,5
two essential ingredients phonics and fluency getting to know each other,psychology,1
the research on the correlation between the textile apparels listed companies financial indexes and the p e,business,5
single blind placebo controlled study of the efficacy and safety of ondansetron and fluoxetine in patients with obstructive sleep apnea,medicine,0
history of science and technology in india and south east asia,geography,4
factores ambientales en la distribucion de la seca en la encina quercus ilex subsp ballota environmental variables in the distribution of la seca disease in the holm oak quercus ilex subsp ballota,geography,4
the power of tulips constructing nature and heritage in a contested landscape,politics,2
make vaccine coverage a key un health indicator,business,5
from sit ins to shirt ins why consumer politics matter more than ever,sociology,6
cases in constitutional law by sir d l keir and professor f h lawson oxford at the clarendon press fourth edition revised 1954 xxxvi and 544 pp 35s net,sociology,6
outwitting our nerves a primer of psychotherapy,psychology,1
proposal of fitness program of korean traditional dance and plan for popularization,psychology,1
nocturnal communal winter bird roosts in northwestern arkansas,geography,4
computer laboratory in medical education for medical students,medicine,0
book reviews inheriting the revolution the first generation of americans by joyce appleby,sociology,6
on street parking in central london questionnaire survey of drivers,business,5
inhibition of antiviral defense in airway epithelial cells by cigarette smoke,medicine,0
the use of art therapy to process the termination of a professional relationship,psychology,1
a novel mobile telemedicine system for ambulance transport design and evaluation,medicine,0
twain s critique of malory s romance forma tractandi and a connecticut yankee,politics,2
the cuban macaw a work of art by wayne smyth,geography,4
corneal ectasis among wrestlers report of two cases,psychology,1
resection proposals for oncologic liver surgery based on vascular territories,medicine,0
the development of integration mobile based home care support systems mds hc as an example,medicine,0
rethinking the western tradition a response to enslin and horsthemke,sociology,6
working notes on the malaysian left,politics,2
a hole in our house,geography,4
a comparison of student achievement and retention on subjective versus objective social studies examinations as influenced by different instructional patterns,psychology,1
moral accounting by organizations a process study of the u s financial crisis inquiry commission,sociology,6
natureza e cultura nas origens da geologia espanhola,geography,4
استخدام نظم المعلومات الجغرافية والتحسس النائي في تطبيق النماذج الهيدرولوجية دراسة تطبيقية على حوض طومسثان,geography,4
clinical characteristics of combined pulmonary fibrosis and emphysema,medicine,0
trajectories of children s attitudes and beliefs about violence in families exposed to intimate partner violence,psychology,1
the research on the situation of famers and herdsmen taking part in the nationwide fitness programs in urumqi city,business,5
an analysis of effect of land transfer ways on land resource value,business,5
bad and getting worse,business,5
the changes or plus ca change newburgh hamilton s early writings and the politics of handel s libretti,politics,2
memoirs of the soil survey of great britain the soils of the district around cambridge memoirs of the soil survey of great britain the soils and land use of the district north of derby the soil survey of great britain report no 18 for 1965,geography,4
beyond the couch potato reconceptualizing media literacy,sociology,6
disease burden of 2013 2014 seasonal influenza in adults in korea,economics,3
the everyday ethics of field work research with vulnerable patients,medicine,0
the literature of travel in the japanese rediscovery of china 1862 1945 review,sociology,6
the algorithm and performance analysis of the reduced almanac of gps civil navigation message,geography,4
the sky glows,geography,4
entrepreneurship education the way forward for vocational education,economics,3
the developing world needs basic research too,business,5
those damaging sequestration cuts continuing resolution s short term savings will result in long term costs,business,5
quartile screening method to analyze the relationship between his and aeros in japan,medicine,0
realty risk insurance research,business,5
exacerbated lung inflammation in colitic mice exposed to bacterial endotoxin,medicine,0
dna methylation patterns in siblings with and without asthma,medicine,0
empty threat hospitals could see more vacancies as demand for outpatient care grows and financial pressure builds to curb inpatient admissions,business,5
jayanta kumar ray portraits of thai politics new delhi sujit mukherjee orient longmans ltd 1972 xiv 225 pp rs 20 cloth,politics,2
th1 polarized macrophages enhance the apoptotic response to chemotherapy in mesothelioma,medicine,0
landscape change in guatemala driving forces of forest and coffee agroforest expansion and contraction from 1990 to 2010,geography,4
the ottomans in syria a history of justice and oppression,politics,2
the effect of teaching phonetic information through repeated practice of dictation and reading aloud in l2 listening class,psychology,1
detection of apneas during 24 hour ambulatory monitoring of ecg and respiration in chronic heart failure patients with cheyne stokes breathing,medicine,0
mobile tools for home based cardiac rehabilitation based on heart rate and movement activity analysis,medicine,0
on the evolution of u s trade agreements evidence from taussig s tariff commission,economics,3
book review communication challenges and convergence in crop biotechnologynavarrom hautear eds 2011 communication challenges and convergence in crop biotechnology los banos laguna philippines the international service for the acquisition of agri biotech ap,economics,3
racism and socialism in the tropics,sociology,6
pregabalin abuse after past substance seeking behavior,medicine,0
pursuing harmony and fairness in education,economics,3
the politics of higher education perspectives for african americans in the 21st century,economics,3
the new development space of the town government s audit businesses,business,5
health economics research in developing countries edited by anne mills and kenneth lee oxford university press 1993 363 pp u s 59 95,economics,3
